count_id,count_date,location_name,latitude,longitude,leg_type,active_approaches,missing_approaches,north_present,east_present,south_present,west_present,intervals_in_count,total_vehicle_day,total_pedestrian_day,total_bike_day,avg_vehicle_per_15min,peak_hour_start,peak_hour_vehicle,north_vehicle_day,east_vehicle_day,south_vehicle_day,west_vehicle_day,left_turn_vehicle_day,through_vehicle_day,right_turn_vehicle_day
111208,2024-10-31,Danforth Rd / Pilkington Dr,43.7044701588868,-79.2696531769261,4_leg,"N,E,S,W",,1,1,1,1,56,13377,1166,297,238.875,2024-10-31 17:00,1346,6994,3,5672,708,658,11873,846
111207,2024-10-31,Danforth Rd / Seminoff St,43.7028085305033,-79.2707804308626,3_leg,"N,S,W",E,1,0,1,1,56,12244,735,264,218.643,2024-10-31 17:00,1204,6292,0,5516,436,382,11442,420
111205,2024-10-31,Danforth Rd / Warden Ave,43.697177451178,-79.2748357774562,4_leg,"N,E,S,W",,1,1,1,1,56,22310,1021,333,398.393,2024-10-31 16:00,2160,5439,6118,5300,5453,3361,15237,3712
111206,2024-10-31,Danforth Rd / Mack Ave,43.7001803882075,-79.2727261154913,4_leg,"N,E,S,W",,1,1,1,1,56,13237,601,299,236.375,2024-10-31 17:00,1275,6240,826,5495,676,764,11347,1126
111211,2024-10-31,Danforth Rd: Hart Ave - Linden Ave,43.71982052676252,-79.25792269700547,2_leg_NS,"N,S","E,W",1,0,1,0,56,15910,264,95,284.107,2024-10-31 17:00,1550,8090,0,7820,0,0,15910,0
111094,2024-10-08,Kingston Rd / Brookside Dr,43.6769410033088,-79.3040883492625,4_leg,"N,E,S,W",,1,1,1,1,56,20068,1366,312,358.357,2024-10-08 08:00,2024,953,8956,719,9440,921,17906,1241
111095,2024-10-08,Kingston Rd / Beech Ave,43.6802501799741,-79.2906945040412,3_leg,"E,S,W",N,0,1,1,1,56,18577,3344,315,331.732,2024-10-08 16:00,1879,0,7836,1487,9254,876,16867,834
111096,2024-10-08,Kingston Rd / Birchmount Rd,43.6930466720611,-79.2623339071601,4_leg,"N,E,S,W",,1,1,1,1,56,18656,528,160,333.143,2024-10-08 16:00,1935,1943,7640,217,8856,2328,14341,1987
111097,2024-10-20,Kingston Rd / Glen Everest Rd,43.6977372858683,-79.2566180497889,3_leg,"E,S,W",N,0,1,1,1,56,11598,525,305,207.107,2024-10-20 15:00,1163,0,5539,1025,5034,937,9885,776
111098,2024-10-20,Kingston Rd / Birchmount Rd,43.6930466720611,-79.2623339071601,4_leg,"N,E,S,W",,1,1,1,1,56,13374,650,275,238.821,2024-10-20 15:00,1367,1708,6107,182,5377,1597,9943,1834
