count_id,count_date,location_name,latitude,longitude,leg_type,active_approaches,missing_approaches,north_present,east_present,south_present,west_present,total_vehicle_day_raw_derived,total_pedestrian_day_raw_derived,total_bike_day_raw_derived,summary_total_vehicle,summary_total_pedestrian,summary_total_bike,summary_count_duration_hr,summary_am_peak_start,summary_am_peak_vehicle,summary_pm_peak_start,summary_pm_peak_vehicle,is_most_recent_for_location
111831,2025-02-26,Sloane Ave / Elvaston Dr,43.7300142263434,-79.3097070663045,4_leg,"N,E,S,W",,1,1,1,1,5457,845,9,5457,845,9,14,2025-02-26T08:15:00,557,2025-02-26T16:00:00,495,1
111826,2025-02-26,Victoria Park Ave / Elvaston Dr,43.7303842449904,-79.3049995792012,3_leg,"N,S,W",E,1,0,1,1,22407,574,47,22407,574,47,14,2025-02-26T08:15:00,2095,2025-02-26T16:30:00,2123,0
111841,2025-03-01,Sheppard Ave E / Rean Dr / Hawksbury Dr,43.7678037879016,-79.3831395436116,4_leg,"N,E,S,W",,1,1,1,1,27074,1345,9,27074,1345,9,14,2025-03-01T09:15:00,1824,2025-03-01T14:00:00,2717,1
111830,2025-02-26,Lawrence Ave E / Carnforth Rd,43.7415034069582,-79.3141824246492,4_leg,"N,E,S,W",,1,1,1,1,40332,1424,26,40332,1424,26,14,2025-02-26T08:00:00,3274,2025-02-26T15:45:00,3535,1
111833,2025-02-26,Danforth Ave / Victoria Park Ave,43.6912323377323,-79.2883586076965,4_leg,"N,E,S,W",,1,1,1,1,30133,9148,335,30133,9148,335,14,2025-02-26T07:45:00,2203,2025-02-26T17:00:00,2731,0
111845,2025-02-25,Lawrence Ave E / Gooderham Dr,43.7437688567075,-79.3022189018959,4_leg,"N,E,S,W",,1,1,1,1,29536,558,35,29536,558,35,14,2025-02-25T08:30:00,2130,2025-02-25T16:30:00,2577,1
111834,2025-03-04,Danforth Ave / Pharmacy Ave,43.6923302582663,-79.2833788540723,4_leg,"N,E,S,W",,1,1,1,1,22773,1976,70,22773,1976,70,14,2025-03-04T08:00:00,1539,2025-03-04T16:15:00,2175,1
111842,2025-03-01,Sheppard Ave E / Barberry Pl,43.7674106622426,-79.384985936865,4_leg,"N,E,S,W",,1,1,1,1,26682,1376,4,26682,1376,4,14,2025-03-01T09:15:00,1847,2025-03-01T14:00:00,2678,1
111832,2025-02-26,Eglinton Ave E / Bermondsey Rd / Sloane Ave,43.7260238587572,-79.3135231120985,4_leg,"N,E,S,W",,1,1,1,1,38971,1279,74,38971,1279,74,14,2025-02-26T07:45:00,3256,2025-02-26T17:15:00,3138,1
111850,2025-03-04,Duplex Ave / Montgomery Ave,43.7091679637925,-79.4010182960894,4_leg,"N,E,S,W",,1,1,1,1,8406,2146,89,8406,2146,89,14,2025-03-04T08:00:00,796,2025-03-04T17:00:00,989,1
111771,2025-02-25,St Clair Ave E / Rexleigh Dr,43.7066560193225,-79.3071320606492,3_leg,"E,S,W",N,0,1,1,1,17704,343,26,17704,343,26,14,2025-02-25T07:45:00,1530,2025-02-25T15:00:00,1490,1
111775,2025-02-25,St Clair Ave E / St Columba Pl,43.7059010387532,-79.3105396287079,3_leg,"E,S,W",N,0,1,1,1,16892,373,28,16892,373,28,14,2025-02-25T07:45:00,1410,2025-02-25T17:45:00,1441,1
111849,2025-03-04,Orchard View Blvd / Duplex Ave,43.7077603430576,-79.4008390779911,4_leg,"N,E,S,W",,1,1,1,1,8693,2420,67,8693,2420,67,14,2025-03-04T08:15:00,744,2025-03-04T17:00:00,937,1
111844,2025-03-01,Eglinton Ave E / Hoyle Ave,43.7105468340058,-79.3796142236137,4_leg,"N,E,S,W",,1,1,1,1,20477,958,24,20477,958,24,14,2025-03-01T09:15:00,1476,2025-03-01T14:15:00,1799,0
111905,2025-03-05,Adelaide St E / Victoria St,43.6506690505876,-79.3772451824927,3_leg,"N,S,W",E,1,0,1,1,13584,14329,802,13584,14329,802,14,2025-03-05T09:00:00,983,2025-03-05T17:00:00,1350,1
114358,2025-10-18,St Clair Ave W / Arlington Ave,43.6810489039274,-79.4288706093842,4_leg,"N,E,S,W",,1,1,1,1,12678,8987,624,12678,8987,624,14,2025-10-18T09:15:00,946,2025-10-18T17:30:00,1158,1
114361,2025-10-18,St Clair Ave W / Vaughan Rd,43.6827726055623,-79.4202235874166,4_leg,"N,E,S,W",,1,1,1,1,18197,14712,541,18197,14712,541,14,2025-10-18T09:15:00,1333,2025-10-18T17:30:00,1600,1
114364,2025-10-18,St Clair Ave W / Tweedsmuir Ave,43.6841635025312,-79.4133942876543,3_leg,"N,E,W",S,1,1,0,1,15761,3857,352,15761,3857,352,14,2025-10-18T09:15:00,1089,2025-10-18T17:30:00,1379,1
114362,2025-10-18,Bathurst St / St Clair Ave W,43.6831674999816,-79.4183014396716,4_leg,"N,E,S,W",,1,1,1,1,35540,14304,602,35540,14304,602,14,2025-10-18T09:15:00,2586,2025-10-18T17:00:00,3068,1
114363,2025-10-18,St Clair Ave W / Wells Hill Ave / Wells Hill Park Trl,43.6836338142387,-79.4159213073551,4_leg,"N,E,S,W",,1,1,1,1,16564,8899,393,16564,8899,393,14,2025-10-18T09:15:00,1136,2025-10-18T17:30:00,1485,1
114365,2025-10-18,St Clair Ave W / Spadina Rd,43.6846253650381,-79.4111691617679,4_leg,"N,E,S,W",,1,1,1,1,24501,4023,506,24501,4023,506,14,2025-10-18T09:15:00,1653,2025-10-18T17:30:00,2256,1
114367,2025-10-18,St Clair Ave W / Poplar Plains Rd,43.6861449301742,-79.4038831922082,3_leg,"E,S,W",N,0,1,1,1,17091,1438,404,17091,1438,404,14,2025-10-18T09:15:00,1195,2025-10-18T17:30:00,1498,1
114366,2025-10-18,St Clair Ave W / Russell Hill Rd,43.6853529400311,-79.407860521843,4_leg,"N,E,S,W",,1,1,1,1,16152,2602,472,16152,2602,472,14,2025-10-18T09:15:00,1159,2025-10-18T18:15:00,1506,1
114368,2025-10-18,Avenue Rd / St Clair Ave W / Glenn Gould Park Trl,43.686640700237,-79.4014954850069,4_leg,"N,E,S,W",,1,1,1,1,40254,4350,474,40254,4350,474,14,2025-10-18T09:15:00,2653,2025-10-18T15:00:00,3697,1
